the_date,state,dma_name,winner,loser,unique_blocks,total_metric,avg_metric,max_metric,z_score
2025-08-16,,,AT&T,Comcast,412,278.0,0.6747572815533981,3.0,44.30051203668458
2025-08-16,,,AT&T,Spectrum,391,267.0,0.6828644501278772,4.0,42.538450606999284
2025-08-17,,,AT&T,Spectrum,391,267.0,0.6828644501278772,4.0,42.538450606999284
2025-08-16,,,Comcast,Spectrum,438,260.0,0.593607305936073,3.0,41.417138788108645
2025-08-16,,,Spectrum,Comcast,464,247.0,0.5323275862068966,2.0,39.33470255302602
2025-08-17,,,AT&T,Comcast,356,227.0,0.6376404494382022,3.0,36.130954499052756
2025-08-16,,,Comcast,AT&T,409,225.0,0.5501222493887531,3.0,35.81057969365543
2025-08-16,,,Spectrum,AT&T,406,218.0,0.5369458128078818,3.0,34.68926787476479
2025-08-17,,,Comcast,Spectrum,360,218.0,0.6055555555555555,3.0,34.68926787476479
2025-06-19,,,Comcast,Spectrum,384,214.0,0.5572916666666666,2.0,34.04851826397013
2025-06-19,,,Spectrum,Comcast,399,213.0,0.5338345864661654,3.0,33.88833086127147
2025-08-17,,,Spectrum,Comcast,357,212.0,0.5938375350140056,4.0,33.7281434585728
2025-08-16,,,T-Mobile FWA,Comcast,229,202.0,0.8820960698689956,4.0,32.126269431586174
2025-06-19,,,Spectrum,AT&T,283,191.0,0.6749116607773852,3.0,30.364208001900877
2025-06-19,,,Comcast,AT&T,296,184.0,0.6216216216216216,4.0,29.242896183010235
2025-08-17,,,Comcast,AT&T,338,183.0,0.5414201183431953,3.0,29.08270878031157
2025-08-15,,,AT&T,Comcast,292,176.0,0.6027397260273972,2.0,27.961396961420927
2025-08-17,,,Spectrum,AT&T,348,175.0,0.5028735632183908,3.0,27.801209558722263
2025-06-19,,,AT&T,Comcast,345,170.0,0.4927536231884058,2.0,27.00027254522895
2025-08-15,,,Spectrum,Comcast,304,167.0,0.5493421052631579,2.0,26.519710337132956
2025-08-15,,,Comcast,Spectrum,286,164.0,0.5734265734265734,3.0,26.039148129036967
2025-08-16,,,T-Mobile FWA,Spectrum,218,163.0,0.7477064220183486,2.0,25.878960726338303
2025-06-19,,,T-Mobile FWA,Comcast,194,158.0,0.8144329896907216,3.0,25.07802371284499
2025-08-15,,,AT&T,Spectrum,256,155.0,0.60546875,3.0,24.597461504749
2025-06-19,,,AT&T,Spectrum,312,153.0,0.49038461538461536,2.0,24.27708669935167
2025-08-18,,,Comcast,Spectrum,264,149.0,0.5643939393939394,2.0,23.636337088557017
2025-08-17,,,T-Mobile FWA,Spectrum,174,140.0,0.8045977011494253,3.0,22.19465046426905
2025-08-18,,,Spectrum,Comcast,262,139.0,0.5305343511450382,2.0,22.034463061570385
2025-08-18,,,AT&T,Comcast,214,135.0,0.6308411214953271,4.0,21.39371345077573
2025-08-17,,,T-Mobile FWA,Comcast,185,129.0,0.6972972972972973,3.0,20.43258903458375
2025-08-15,,,Comcast,AT&T,260,125.0,0.4807692307692308,2.0,19.791839423789096
2025-08-15,,,Spectrum,AT&T,255,125.0,0.49019607843137253,3.0,19.791839423789096
2025-08-15,,,T-Mobile FWA,Comcast,163,116.0,0.7116564417177914,2.0,18.350152799501128
2025-06-19,,,T-Mobile FWA,Spectrum,151,116.0,0.7682119205298014,2.0,18.350152799501128
2025-08-15,,,T-Mobile FWA,Spectrum,154,112.0,0.7272727272727273,2.0,17.709403188706474
2025-08-18,,,Spectrum,AT&T,201,107.0,0.5323383084577115,2.0,16.908466175213157
2025-08-18,,,AT&T,Spectrum,201,105.0,0.5223880597014925,2.0,16.58809136981583
2025-08-16,,,Verizon FWA,Spectrum,111,105.0,0.9459459459459459,2.0,16.58809136981583
2025-08-16,,,Frontier,Spectrum,129,100.0,0.7751937984496124,4.0,15.787154356322516
2025-08-18,,,Comcast,AT&T,203,99.0,0.4876847290640394,2.0,15.626966953623851
2025-08-16,,,Spectrum,T-Mobile FWA,260,96.0,0.36923076923076925,2.0,15.146404745527862
2025-08-16,,,Verizon FWA,Comcast,103,95.0,0.9223300970873787,2.0,14.986217342829198
2025-08-16,,,Comcast,T-Mobile FWA,229,91.0,0.39737991266375544,2.0,14.345467732034546
2025-08-16,,,Spectrum,Frontier,152,78.0,0.5131578947368421,7.0,12.263031496951923
2025-08-16,,,Comcast,Verizon,127,76.0,0.5984251968503937,3.0,11.942656691554596
2025-08-17,,,Spectrum,T-Mobile FWA,187,73.0,0.39037433155080214,1.0,11.462094483458607
2025-08-16,,,T-Mobile FWA,AT&T,96,73.0,0.7604166666666666,2.0,11.462094483458607
2025-08-17,,,Frontier,Spectrum,103,73.0,0.7087378640776699,3.0,11.462094483458607
2025-08-17,,,Verizon FWA,Comcast,85,71.0,0.8352941176470589,5.0,11.14171967806128
2025-06-19,,,Frontier,Spectrum,109,69.0,0.6330275229357798,3.0,10.821344872663953
