the_date,winner,loser,h2h_wins,h2h_share
2025-02-19,T-Mobile FWA,Comcast,17.0,100.0
2025-02-19,Spectrum,Comcast,15.0,100.0
2025-02-19,AT&T,Comcast,15.0,100.0
2025-02-19,T-Mobile FWA,Spectrum,15.0,100.0
2025-02-19,Spectrum,AT&T,14.0,100.0
2025-02-19,Comcast,Spectrum,11.0,100.0
2025-02-19,Comcast,AT&T,11.0,100.0
2025-02-19,AT&T,Spectrum,11.0,100.0
2025-02-19,Frontier,Spectrum,10.0,100.0
2025-02-20,AT&T,Spectrum,46.0,100.0
2025-02-20,AT&T,Comcast,44.0,100.0
2025-02-20,Spectrum,Comcast,40.0,100.0
2025-02-20,T-Mobile FWA,Comcast,35.0,100.0
2025-02-20,Frontier,Spectrum,33.0,100.0
2025-02-20,Comcast,Spectrum,32.0,100.0
2025-02-20,Comcast,AT&T,32.0,100.0
2025-02-20,Spectrum,AT&T,31.0,100.0
2025-02-20,T-Mobile FWA,Spectrum,26.0,100.0
2025-02-20,Verizon,Comcast,24.0,100.0
2025-02-20,Verizon FWA,Spectrum,22.0,100.0
2025-02-20,Verizon FWA,Comcast,19.0,100.0
2025-02-20,Spectrum,T-Mobile FWA,19.0,100.0
2025-02-20,CenturyLink,Comcast,18.0,100.0
2025-02-20,Spectrum,Cox Communications,15.0,100.0
2025-02-20,Spectrum,Frontier,14.0,100.0
2025-02-20,Comcast,Verizon,12.0,100.0
2025-02-20,T-Mobile FWA,AT&T,12.0,100.0
2025-02-20,Frontier,Comcast,12.0,100.0
2025-02-20,Comcast,CenturyLink,11.0,100.0
2025-02-20,Comcast,Cox Communications,11.0,100.0
2025-02-21,AT&T,Comcast,71.0,100.0
2025-02-21,Comcast,Spectrum,54.0,100.0
2025-02-21,Spectrum,AT&T,46.0,100.0
2025-02-21,T-Mobile FWA,Comcast,45.0,100.0
2025-02-21,Spectrum,Comcast,45.0,100.0
2025-02-21,Comcast,AT&T,45.0,100.0
2025-02-21,AT&T,Spectrum,44.0,100.0
2025-02-21,T-Mobile FWA,Spectrum,40.0,100.0
2025-02-21,Verizon FWA,Comcast,33.0,100.0
2025-02-21,Verizon FWA,Spectrum,29.0,100.0
2025-02-21,Frontier,Spectrum,27.0,100.0
2025-02-21,Verizon,Comcast,27.0,100.0
2025-02-21,Spectrum,T-Mobile FWA,26.0,100.0
2025-02-21,Comcast,CenturyLink,20.0,100.0
2025-02-21,Comcast,T-Mobile FWA,20.0,100.0
2025-02-21,T-Mobile FWA,AT&T,18.0,100.0
2025-02-21,Cox Communications,Spectrum,17.0,100.0
2025-02-21,CenturyLink,Comcast,17.0,100.0
2025-02-21,Spectrum,Frontier,17.0,100.0
2025-02-21,Comcast,Verizon,16.0,100.0
2025-02-21,Spectrum,Cox Communications,15.0,100.0
2025-02-21,Frontier,Comcast,13.0,100.0
2025-02-21,Verizon FWA,Cox Communications,12.0,100.0
2025-02-21,AT&T,T-Mobile FWA,12.0,100.0
2025-02-21,CenturyLink,Spectrum,11.0,100.0
2025-02-21,Verizon FWA,AT&T,11.0,100.0
2025-02-21,AT&T,Cox Communications,11.0,100.0
2025-02-21,Cox Communications,Comcast,11.0,100.0
