the_date,winner,total_wins,win_share
2025-02-19,Spectrum,87.0,19.333333333333332
2025-02-19,Comcast,62.0,13.777777777777779
2025-02-19,T-Mobile FWA,55.0,12.222222222222221
2025-02-19,AT&T,41.0,9.11111111111111
2025-02-19,Verizon FWA,32.0,7.111111111111111
2025-02-19,Frontier,21.0,4.666666666666667
2025-02-19,Cox Communications,18.0,4.0
2025-02-19,Verizon,16.0,3.5555555555555554
2025-02-19,Altice,15.0,3.3333333333333335
2025-02-19,CenturyLink,13.0,2.888888888888889
2025-02-19,Brightspeed,8.0,1.7777777777777777
2025-02-19,Google Fiber,8.0,1.7777777777777777
2025-02-19,WOW!,7.0,1.5555555555555556
2025-02-19,Starlink,6.0,1.3333333333333333
2025-02-19,Mediacom,6.0,1.3333333333333333
2025-02-19,Horry,6.0,1.3333333333333333
2025-02-19,Cable One,4.0,0.8888888888888888
2025-02-19,TDS Telecom,4.0,0.8888888888888888
2025-02-19,Windstream,3.0,0.6666666666666666
2025-02-19,Service Electric,3.0,0.6666666666666666
2025-02-19,Hughes,3.0,0.6666666666666666
2025-02-19,Consolidated,3.0,0.6666666666666666
2025-02-19,Shentel,2.0,0.4444444444444444
2025-02-19,Ziply Fiber,2.0,0.4444444444444444
2025-02-19,Wyyerd Communications,2.0,0.4444444444444444
2025-02-19,Ezee Fiber,2.0,0.4444444444444444
2025-02-19,Allo Communications,2.0,0.4444444444444444
2025-02-19,Conexon Connect,2.0,0.4444444444444444
2025-02-19,Hotwire Fision,2.0,0.4444444444444444
2025-02-19,Cincinnati Bell,2.0,0.4444444444444444
2025-02-19,Astound Broadband,2.0,0.4444444444444444
2025-02-19,Midcontinent,1.0,0.2222222222222222
2025-02-19,Rise Broadband,1.0,0.2222222222222222
2025-02-19,Atlantic Broadband,1.0,0.2222222222222222
2025-02-19,GoNetspeed,1.0,0.2222222222222222
2025-02-19,C Spire Fiber,1.0,0.2222222222222222
2025-02-19,Pavlov Media,1.0,0.2222222222222222
2025-02-19,Vyve Broadband,1.0,0.2222222222222222
2025-02-19,Lumos,1.0,0.2222222222222222
2025-02-19,Armstrong,1.0,0.2222222222222222
2025-02-19,Metronet,1.0,0.2222222222222222
2025-02-19,Bluepeak,1.0,0.2222222222222222
2025-02-20,Spectrum,203.0,18.076580587711486
2025-02-20,Comcast,173.0,15.405164737310775
2025-02-20,AT&T,136.0,12.110418521816563
2025-02-20,T-Mobile FWA,118.0,10.507569011576136
2025-02-20,Verizon FWA,73.0,6.500445235975067
2025-02-20,Frontier,63.0,5.609973285841496
2025-02-20,Verizon,47.0,4.1852181656277825
2025-02-20,Cox Communications,40.0,3.5618878005342833
2025-02-20,Altice,37.0,3.2947462154942118
2025-02-20,CenturyLink,34.0,3.0276046304541406
2025-02-20,Starlink,20.0,1.7809439002671417
2025-02-20,Metronet,15.0,1.335707925200356
2025-02-20,Windstream,15.0,1.335707925200356
2025-02-20,Brightspeed,15.0,1.335707925200356
2025-02-20,Astound Broadband,14.0,1.2466607301869992
2025-02-20,Google Fiber,14.0,1.2466607301869992
2025-02-20,Cable One,12.0,1.068566340160285
2025-02-20,Mediacom,9.0,0.8014247551202137
2025-02-20,Ziply Fiber,7.0,0.6233303650934996
2025-02-20,TDS Telecom,7.0,0.6233303650934996
2025-02-20,Atlantic Broadband,7.0,0.6233303650934996
2025-02-20,Service Electric,6.0,0.5342831700801425
2025-02-20,Hughes,6.0,0.5342831700801425
2025-02-20,Hotwire Fision,5.0,0.4452359750667854
2025-02-20,WOW!,5.0,0.4452359750667854
2025-02-20,Cincinnati Bell,5.0,0.4452359750667854
2025-02-20,Consolidated,4.0,0.3561887800534283
2025-02-20,Allo Communications,4.0,0.3561887800534283
2025-02-20,Lumos,3.0,0.26714158504007124
2025-02-20,GoNetspeed,3.0,0.26714158504007124
2025-02-20,Horry,3.0,0.26714158504007124
2025-02-20,Vexus Fiber,2.0,0.17809439002671415
2025-02-20,Wyyerd Communications,2.0,0.17809439002671415
2025-02-20,Conexon Connect,2.0,0.17809439002671415
2025-02-20,Buckeye,2.0,0.17809439002671415
2025-02-20,Midcontinent,2.0,0.17809439002671415
2025-02-20,Armstrong,2.0,0.17809439002671415
2025-02-20,Ezee Fiber,1.0,0.08904719501335707
2025-02-20,Surf Internet,1.0,0.08904719501335707
2025-02-20,Bluepeak,1.0,0.08904719501335707
2025-02-20,C Spire Fiber,1.0,0.08904719501335707
2025-02-20,Vyve Broadband,1.0,0.08904719501335707
2025-02-20,IdeaTek,1.0,0.08904719501335707
2025-02-20,i3 Broadband,1.0,0.08904719501335707
2025-02-20,Sonic,1.0,0.08904719501335707
2025-02-21,Comcast,251.0,17.040054310930074
2025-02-21,Spectrum,249.0,16.90427698574338
2025-02-21,AT&T,187.0,12.695179904955872
2025-02-21,T-Mobile FWA,162.0,10.9979633401222
2025-02-21,Verizon FWA,119.0,8.078750848608282
2025-02-21,Frontier,63.0,4.276985743380855
2025-02-21,Cox Communications,61.0,4.141208418194162
2025-02-21,Verizon,56.0,3.801765105227427
2025-02-21,CenturyLink,44.0,2.9871011541072643
2025-02-21,Altice,32.0,2.1724372029871013
2025-02-21,Starlink,29.0,1.9687712152070604
2025-02-21,Windstream,22.0,1.4935505770536321
2025-02-21,Brightspeed,20.0,1.3577732518669383
2025-02-21,Google Fiber,16.0,1.0862186014935507
2025-02-21,Metronet,11.0,0.7467752885268161
2025-02-21,Hotwire Fision,10.0,0.6788866259334692
2025-02-21,Cincinnati Bell,10.0,0.6788866259334692
2025-02-21,TDS Telecom,10.0,0.6788866259334692
2025-02-21,Service Electric,9.0,0.6109979633401222
2025-02-21,Mediacom,9.0,0.6109979633401222
2025-02-21,Astound Broadband,9.0,0.6109979633401222
2025-02-21,Atlantic Broadband,9.0,0.6109979633401222
2025-02-21,Hughes,8.0,0.5431093007467753
2025-02-21,Cable One,7.0,0.47522063815342835
2025-02-21,WOW!,7.0,0.47522063815342835
2025-02-21,Ziply Fiber,5.0,0.3394433129667346
2025-02-21,Consolidated,5.0,0.3394433129667346
2025-02-21,Horry,4.0,0.27155465037338766
2025-02-21,Allo Communications,4.0,0.27155465037338766
2025-02-21,Conexon Connect,4.0,0.27155465037338766
2025-02-21,Lumos,4.0,0.27155465037338766
2025-02-21,Vyve Broadband,3.0,0.20366598778004075
2025-02-21,C Spire Fiber,3.0,0.20366598778004075
2025-02-21,Bluepeak,3.0,0.20366598778004075
2025-02-21,Ezee Fiber,3.0,0.20366598778004075
2025-02-21,Midcontinent,3.0,0.20366598778004075
2025-02-21,Armstrong,3.0,0.20366598778004075
2025-02-21,GoNetspeed,3.0,0.20366598778004075
2025-02-21,Buckeye,2.0,0.13577732518669383
2025-02-21,Rise Broadband,2.0,0.13577732518669383
2025-02-21,Shentel,2.0,0.13577732518669383
2025-02-21,Vexus Fiber,2.0,0.13577732518669383
2025-02-21,Pavlov Media,2.0,0.13577732518669383
2025-02-21,i3 Broadband,1.0,0.06788866259334692
2025-02-21,Sonic,1.0,0.06788866259334692
2025-02-21,Wyyerd Communications,1.0,0.06788866259334692
